io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097924.040258007832938177
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097924.040258007832938177
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097924.040258007832938177
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097924.040258007832938177
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097924.040258007832938177
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   19       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84093475.42639451872523779
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093423.151248342338571294
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093423.151248342338571294
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093423.151248342338571294
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093423.151248342338571294
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84093423.151248342338571294
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84088943.503346801221321558
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84088889.999701385511033466
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84088889.999701385511033466
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84088889.999701385511033466
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84088889.999701385511033466
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84088889.999701385511033466
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84085699.927265383266262262
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   30       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   30       84084378.881561662852962087
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84084324.085902401529813518
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079781.052059242513996937
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079773.102495465475181932
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079773.102495465475181932
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   14       84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84079716.945726305593567603
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp   active   15       84075141.541184985976187889
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      5   royallandOp            0        84075141.541184985976187889
